E,N,Z
622999,4970063,-38.6
623178,4969985,-41.8
623162,4969976,-36.9
623139,4969952,-26.9
623112,4969925,-23.9
623078,4969905,-21.8
623054,4969896,-17.3
623028,4969884,-15.0
622992,4969870,-12.6
622965,4969866,-29.2
622945,4969861,-31.1
622925,4969846,-26.7
622910,4969819,-24.5
622899,4969791,-20.4
622882,4969764,-20.0
622866,4969742,-14.3
622846,4969711,-14.0
622784,4969668,-17.2
622735,4969660,-18.7
622672,4969656,-20.6
622633,4969653,-19.1
622596,4969660,-18.6
622576,4969677,-38.9
622579,4969704,-38.7
622600,4969709,-42.0
622647,4969703,-41.3
622724,4969708,-34.7
622769,4969714,-38.7
622789,4969718,-35.1
622815,4969724,-40.8
622850,4969744,-41.6
622881,4969774,-42.3
622911,4969818,-38.9
622925,4969838,-38.2
622943,4969869,-46.3
622960,4969897,-56.9
622979,4969935,-69.6
623005,4969977,-80.3
623032,4970023,-84.7
623054,4970049,-90.5
623082,4970084,-98.9
623079,4970132,-101.0
623036,4970117,-108.0
622961,4970063,-108.0
622929,4970022,-105.0
622861,4969973,-103.0
622829,4969942,-102.0
622802,4969909,-99.6
622780,4969883,-96.2
622753,4969855,-94.3
622728,4969827,-88.2
622698,4969786,-77.5
622672,4969761,-73.9
622661,4969750,-68.4
622634,4969729,-58.7
622602,4969713,-42.2
622567,4969703,-34.0
622533,4969717,-53.2
622549,4969750,-77.6
622572,4969794,-87.6
622584,4969813,-92.2
622599,4969832,-93.6
622622,4969854,-98.8
622659,4969892,-101.0
622687,4969923,-103.0
622727,4969978,-104.0
622761,4970009,-105.0
622778,4970031,-107.0
622809,4970059,-108.0
622822,4970073,-110.0
622846,4970103,-112.0
622872,4970140,-111.0
622909,4970188,-109.0
622927,4970218,-109.0
622929,4970257,-110.0
622891,4970267,-111.0
622851,4970253,-111.0
622810,4970221,-111.0
622772,4970195,-111.0
622741,4970162,-110.0
622719,4970134,-110.0
622694,4970102,-109.0
622662,4970066,-108.0
622627,4970033,-107.0
622581,4969982,-107.0
622534,4969937,-108.0
622481,4969894,-107.0
622429,4969857,-107.0
622400,4969837,-97.8
622344,4969823,-106.0
622346,4969872,-110.0
622362,4969913,-111.0
622391,4969942,-112.0
622424,4969975,-112.0
622480,4970026,-110.0
622528,4970061,-109.0
622562,4970087,-110.0
622606,4970118,-111.0
622644,4970146,-111.0
622680,4970204,-111.0
622708,4970241,-112.0
622733,4970275,-112.0
622761,4970309,-112.0
